What does a funambulist walk on?	A Tight Rope	Broken Glass	Balls	The Moon
On a dartboard, what number is directly opposite No. 1?	19	20	12	15
Which of these Marvel games was released on the Playstation 2?	Spider-Man 2	Silver Surfer	Howard the Duck	Wolverine: Adamantium Rage
Five dollars is worth how many nickles?	100	50	25	69
What kind of aircraft was developed by Igor Sikorsky in the United States in 1942?	Helicopter	Stealth Blimp	Jet	Space Capsule
According to Sherlock Holmes, "If you eliminate the impossible, whatever remains, however improbable, must be the..."	Truth	Answer	Cause	Source
Which country has the union jack in its flag?	New Zealand	South Africa	Canada	Hong Kong
Which sign of the zodiac is represented by the Crab?	Cancer	Libra	Virgo	Sagittarius
What is the nickname of the US state of California?	Golden State	Sunshine State	Bay State	Treasure State
Which of the following card games revolves around numbers and basic math?	Uno	Go Fish	Twister	Munchkin
How many colors are there in a rainbow?	7	8	9	10
In Half-Life, what is the name of the alien that attaches to heads?	Headcrab	Bullsquid	Vortigaunt	Facehugger
The Canadian $1 coin is colloquially known as a what?	Loonie	Boolie	Foolie	Moodie
When someone is cowardly, they are said to have what color belly?	Yellow	Green	Red	Blue
What is the closest planet to our solar system's sun?	Mercury	Mars	Jupiter	Earth
Who invented the first ever chocolate bar, in 1847?	Joseph Fry	Andrew Johnson	John Cadbury	John Tyler
If you are caught "Goldbricking", what are you doing wrong?	Slacking	Smoking	Stealing	Cheating
According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?	Plum	Apple	Peach	Pear
What do the letters in the GMT time zone stand for?	Greenwich Mean Time	Global Meridian Time	General Median Time	Glasgow Man Time
When was the Playstation 3 released?	November 11, 2006	January 8, 2007	December 25, 2007	July 16, 2006
The New York Times slogan is, “All the News That’s Fit to…”	Print	Digest	Look	Read
Which one of these is not a typical European sword design?	Scimitar	Falchion	Ulfberht	Flamberge
What is the name of NASA’s most famous space telescope?	Hubble Space Telescope	Big Eye	Death Star	Millenium Falcon
In the video-game franchise Kingdom Hearts, the main protagonist, carries a weapon with what shape?	Key	Sword	Pen	Cellphone
Which sign of the zodiac comes between Virgo and Scorpio?	Libra	Gemini	Taurus	Capricorn
What is the name of the Jewish New Year?	Rosh Hashanah	Elul	New Year	Succoss
What nuts are used in the production of marzipan?	Almonds	Peanuts	Walnuts	Pistachios
Area 51 is located in which US state?	Nevada	Arizona	New Mexico	Utah
Waluigi's first appearance was in what game?	Mario Tennis 64 (N64)	Wario Land: Super Mario Land 3	Mario Party (N64)	Super Smash Bros. Ultimate
Which candy is NOT made by Mars?	Almond Joy	M&M's	Twix	Snickers
Terry Gilliam was an animator that worked with which British comedy group?	Monty Python	The Goodies	The League of Gentlemen	The Penny Dreadfuls
What is Tasmania?	An Australian State	A flavor of Ben and Jerry's ice-cream	A Psychological Disorder	The Name of a Warner Brothers Cartoon Character
What company developed the vocaloid Hatsune Miku?	Crypton Future Media	Sega	Sony	Yamaha Corporation
The likeness of which president is featured on the rare $2 bill of USA currency?	Thomas Jefferson	Martin Van Buren	Ulysses Grant	John Quincy Adams
